pub_date	title	venue	excerpt	citation	url_slug
 2016	 Developing a Dataset for Evaluating Approaches for Document Expansion with Images	 LREC	 Debasis Ganguly and Iacer Calixto and Gareth J. F. Jones	 publisher European Language Resources Association (ELRA)		
 2016	 A Laboratory-Based Method for the Evaluation of Personalised Search	 EVIA@NTCIR	 Camilla Sanvitto and Debasis Ganguly and Gareth J. F. Jones and Gabriella Pasi	 publisher National Institute of Informatics (NII)		
 2016	 Retrievability of Code Mixed Microblogs	 SIGIR	 Debasis Ganguly and Ayan Bandyopadhyay and Mandar Mitra and Gareth J. F. Jones	 pages 973--976		
 2016	 Dublin City University and Partners' Participation in the INS and VTT Tracks at TRECVid 2016	 TRECVID	 Mark Marsden and Eva Mohedano and Kevin McGuinness and Andrea Calafell and Xavier Gir\'o-i-Nieto and Noel E. O'Connor and Jiang Zhou and Lucas Azevedo and Tobias Daudert and Brian Davis and Manuela H\"urlimann and Haithem Afli and Jinhua Du and Debasis Ganguly and Wei Li and Andy Way and Alan F. Smeaton	 publisher National Institute of Standards and Technology (NIST)		
 2015	 The Good	 the Bad and their Kins: Identifying Questions with Negative Scores in StackOverflow	 Piyush Arora and Debasis Ganguly and Gareth J. F. Jones	 ASONAM		
 2015	 An Investigation of Cross-Language Information Retrieval for User-Generated Internet Video	 CLEF	 Ahmad Khwileh and Debasis Ganguly and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2015	 Context-driven Dimensionality Reduction for Clustering Text Documents	 FIRE	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 pages 1--7		
 2015	 Overview of the Automated Story Illustration Task at FIRE 2015	 FIRE Workshops	 Debasis Ganguly and Iacer Calixto and Gareth J. F. Jones	 series CEUR Workshop Proceedings		
 2015	 Partially Labeled Supervised Topic Models for RetrievingSimilar Questions in CQA Forums	 ICTIR	 Debasis Ganguly and Gareth J. F. Jones	 pages 161--170		
 2015	 Word Embedding based Generalized Language Model for Information Retrieval	 SIGIR	 Debasis Ganguly and Dwaipayan Roy and Mandar Mitra and Gareth J. F. Jones	 pages 795--798		
 2015	 ADAPT.DCU at TREC LiveQA: A Sentence Retrieval based Approach to Live Question Answering	 TREC	 Dasha Bogdanova and Debasis Ganguly and Jennifer Foster and Ali Hosseinzadeh Vahid	 series NIST Special Publication		
 2014	 Automatic Prediction of Aesthetics and Interestingness of Text Passages	 COLING	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 pages 905--916		
 2014	 DCU@FIRE-2014: An Information Retrieval Approach for Source Code Plagiarism Detection	 FIRE	 Debasis Ganguly and Gareth J. F. Jones	 pages 39--42		
 2014	 DCU@FIRE-2014: Fuzzy Queries with Rule-based Normalization for Mixed Script Information Retrieval	 FIRE	 Debasis Ganguly and Santanu Pal and Gareth J. F. Jones	 pages 80--85		
 2014	 Retrieval of similar chess positions	 SIGIR	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 pages 687--696		
 2013	 A Case Study in Decompounding for Bengali Information Retrieval	 CLEF	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2013	 DCU@Morpheme Extraction Task of FIRE-2012: Rule-based Stemmers for Bengali and Hindi	 FIRE	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 pages 12:1--12:5		
 2013	 An LDA-smoothed relevance model for document expansion: a case study for spoken document retrieval	 SIGIR	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 pages 1057--1060		
 2013	 TopicVis: a GUI for topic-based feedback and navigation	 SIGIR	 Debasis Ganguly and Manisha Ganguly and Johannes Leveling and Gareth J. F. Jones	 pages 1103--1104		
 2012	 Topical Relevance Model	 AIRS	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2012	 DCU@INEX-2012: Exploring Sentence Retrieval for Tweet Contextualization	 CLEF (Online Working Notes/Labs/Workshop)	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 series CEUR Workshop Proceedings		
 2012	 Cross-Lingual Topical Relevance Models	 COLING	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 pages 927--942		
 2012	 Approximate Sentence Retrieval for Scalable and Efficient Example-Based Machine Translation	 COLING	 Johannes Leveling and Debasis Ganguly and Sandipan Dandapat and Gareth J. F. Jones	 pages 1571--1586		
 2011	 Utilizing sub-topical structure of documents for information retrieval	 PIKM@CIKM	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 pages 75--78		
 2011	 Patent query reduction using pseudo relevance feedback	 CIKM	 Debasis Ganguly and Johannes Leveling and Walid Magdy and Gareth J. F. Jones	 pages 1953--1956		
 2011	 Simulation of Within-Session Query Variations Using a Text Segmentation Approach	 CLEF	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2011	 Overview of the Personalized and Collaborative Information Retrieval (PIR) Track at FIRE-2011	 FIRE	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2011	 Towards evaluation of personalized and collaborative information retrieval	 PMHR@HT	 Debasis Ganguly and Johannes Leveling and Wei Li and Gareth J. F. Jones	 pages 34--41		
 2011	 Enhanced Information Retrieval Using Domain-Specific Recommender Models	 ICTIR	 Wei Li and Debasis Ganguly and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2011	 Query Expansion for Language Modeling Using Sentence Similarities	 IRFC	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2010	 Term Conflation and Blind Relevance Feedback for Information Retrieval on Indian Languages	 FIRE	 Johannes Leveling and Debasis Ganguly and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2010	 DCU and ISI@INEX 2010: Adhoc and Data-Centric Tracks	 INEX	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones and Sauparna Palchowdhury and Sukomal Pal and Mandar Mitra	 series Lecture Notes in Computer Science		
 2010	 Exploring Accumulative Query Expansion for Relevance Feedback	 INEX	 Debasis Ganguly and Johannes Leveling and Gareth J. F. Jones	 series Lecture Notes in Computer Science		
 2009	 Parameter Tuning in Pivoted Normalization for XML Retrieval: ISI@INEX09 Adhoc Focused Task	 INEX	 Sukomal Pal and Mandar Mitra and Debasis Ganguly	 series Lecture Notes in Computer Science		
 2008	 Indian Statistical Institute at INEX 2008 Adhoc Track	 INEX	 Sukomal Pal and Mandar Mitra and Debasis Ganguly and Samaresh Maiti and Ayan Bandyopadhyay and Aparajita Sen and Sukanya Mitra	 series Lecture Notes in Computer Science		
 2019	 Identification of Tasks	 Datasets	 Yufang Hou and Charles Jochim and Martin Gleize and Francesca Bonin and Debasis Ganguly	 Evaluation Metrics		
 2019	 Privacy Preserving Approximate K-means Clustering	 CIKM	 Chandan Biswas and Debasis Ganguly and Dwaipayan Roy and Ujjwal Bhattacharya	 pages 1321--1330		
 2019	 I-REX: A Lucene Plugin for EXplainable IR	 CIKM	 Dwaipayan Roy and Sourav Saha and Mandar Mitra and Bihan Sen and Debasis Ganguly	 pages 2949--2952		
 2019	 A Factored Relevance Model for Contextual Point-of-Interest Recommendation	 ICTIR	 Anirban Chakraborty and Debasis Ganguly and Annalina Caputo and S\'eamus Lawless	 pages 157--164		
 2019	 Word-Node2Vec: Improving Word Embedding with Document-Level Non-Local Word Co-occurrences	 NAACL-HLT (1)	 Procheta Sen and Debasis Ganguly and Gareth J. F. Jones	 pages 1041--1051		
 2019	 LIRME: Locally Interpretable Ranking Model Explanation	 SIGIR	 Manisha Verma and Debasis Ganguly	 pages 1281--1284		
 2018	 Using Word Embeddings for Information Retrieval: How Collection and Term Normalization Choices Affect Performance	 CIKM	 Dwaipayan Roy and Debasis Ganguly and Sumit Bhatia and Srikanta Bedathur and Mandar Mitra	 pages 1835--1838		
 2018	 Overview of the CLEF 2018 Personalised Information Retrieval Lab (PIR-CLEF 2018)	 CLEF (Working Notes)	 Gabriella Pasi and Gareth J. F. Jones and Keith Curtis and Stefania Marrara and Camilla Sanvitto and Debasis Ganguly and Procheta Sen	 series CEUR Workshop Proceedings		
 2018	 Evaluation of Personalised Information Retrieval at CLEF 2018 (PIR-CLEF)	 CLEF	 Gabriella Pasi and Gareth J. F. Jones and Keith Curtis and Stefania Marrara and Camilla Sanvitto and Debasis Ganguly and Procheta Sen	 series Lecture Notes in Computer Science		
 2018	 Word Embedding based Semantic Cross-Lingual Document Alignment in Comparable Corpora	 FIRE	 Debasis Ganguly and Haithem Afli and Dwaipayan Roy	 pages 28--34		
 2018	 Unsupervised Information Extraction from Behaviour Change Literature	 MIE	 Debasis Ganguly and L\'ea A. Deleris and Pol Mac Aonghusa and Alison J. Wright and Ailbhe N. Finnerty and Emma Norris and Marta M. Marques and Susan Michie	 series Studies in Health Technology and Informatics		
